LANP_label,ENG_label,AgeGroup,ST_label,n
Telugu,Very well,Adult,Texas/TX,37243
Navajo,Very well,Adult,New Mexico/NM,37011
Vietnamese,Not well,Adult,Texas/TX,36911
Cantonese,Not well,Adult,California/CA,36768
Spanish,Not at all,Adult,Pennsylvania/PA,36634
Tagalog,Very well,Adult,Nevada/NV,36341
Polish,Very well,Adult,New York/NY,35431
Chinese,Very well,Adult,Massachusetts/MA,35112
Hebrew,Very well,Adult,New York/NY,34731
Spanish,Well,Youth,Georgia/GA,34707
Korean,Very well,Adult,New York/NY,34631
Spanish,Well,Adult,Ohio/OH,34574
Spanish,Well,Adult,Wisconsin/WI,34438
Spanish,Not well,Adult,Indiana/IN,34243
Arabic,Very well,Adult,New Jersey/NJ,34145
Chinese,Very well,Adult,New Jersey/NJ,34144
Arabic,Very well,Adult,Illinois/IL,34071
Spanish,Not well,Adult,Utah/UT,33407
Arabic,Very well,Adult,Florida/FL,33398
German,Very well,Adult,Texas/TX,33384
Spanish,Well,Adult,Michigan/MI,33340
Spanish,Not well,Youth,Florida/FL,33323
Tagalog,Very well,Adult,Texas/TX,33319
Cantonese,Very well,Adult,New York/NY,33047
Spanish,Not well,Senior,Illinois/IL,32966
Spanish,Very well,Youth,Alabama/AL,32855
Spanish,Well,Adult,South Carolina/SC,32800
Hmong,Very well,Adult,California/CA,32790
Urdu,Very well,Adult,New York/NY,32724
Spanish,Well,Senior,New Jersey/NJ,32667
Spanish,Well,Senior,Illinois/IL,32429
Spanish,Very well,Youth,Arkansas/AR,32349
Polish,Well,Adult,Illinois/IL,32320
Spanish,Not well,Adult,Oklahoma/OK,32228
Bengali,Well,Adult,New York/NY,32077
Spanish,Not well,Adult,South Carolina/SC,32044
Hindi,Very well,Adult,New York/NY,31928
Portuguese,Well,Adult,Massachusetts/MA,31911
Spanish,Not at all,Adult,Washington/WA,31843
Arabic,Very well,Youth,Michigan/MI,31741
Spanish,Not well,Adult,New Mexico/NM,31590
Greek,Very well,Adult,New York/NY,31414
Arabic,Well,Adult,California/CA,31359
Hmong,Very well,Adult,Minnesota/MN,31319
Mandarin,Very well,Youth,California/CA,31265
Farsi,Well,Adult,California/CA,31220
Urdu,Very well,Adult,California/CA,31035
Yiddish,Very well,Youth,New York/NY,30963
Spanish,Not well,Adult,Wisconsin/WI,30834
Korean,Not well,Senior,California/CA,30749
Spanish,Well,Adult,Kansas/KS,30688
Spanish,Very well,Senior,Colorado/CO,30543
Tagalog,Very well,Adult,Illinois/IL,30496
Chinese,Well,Senior,California/CA,30470
Italian,Very well,Adult,California/CA,30452
Hindi,Very well,Adult,Illinois/IL,30411
Urdu,Very well,Adult,Illinois/IL,30176
Spanish,Well,Youth,New Jersey/NJ,30083
Chinese,Very well,Senior,California/CA,29923
Spanish,Very well,Youth,Iowa/IA,29851
Tagalog,Very well,Youth,California/CA,29843
Spanish,Very well,Youth,Nebraska/NE,29791
French,Very well,Adult,Maryland/MD,29790
Chinese,Very well,Youth,New York/NY,29741
Arabic,Very well,Adult,Virginia/VA,29727
Gujarati,Very well,Adult,California/CA,29669
Italian,Very well,Senior,New York/NY,29475
Chinese,Very well,Adult,Washington/WA,29076
Tagalog,Very well,Adult,New Jersey/NJ,28918
Armenian,Well,Adult,California/CA,28838
Korean,Very well,Adult,New Jersey/NJ,28506
Spanish,Well,Adult,Minnesota/MN,28447
German,Very well,Adult,Florida/FL,28366
Arabic,Very well,Youth,California/CA,28341
Pennsylvania German,Very well,Adult,Pennsylvania/PA,28269
Arabic,Well,Adult,Michigan/MI,28095
Spanish,Not at all,Adult,Nevada/NV,27937
Korean,Very well,Youth,California/CA,27900
Spanish,Very well,Youth,Missouri/MO,27859
Chinese,Well,Adult,Texas/TX,27820
Mandarin,Very well,Adult,New York/NY,27693
Spanish,Not at all,Adult,Maryland/MD,27693
Italian,Very well,Adult,New Jersey/NJ,27633
Russian,Well,Adult,California/CA,27569
Russian,Very well,Adult,Washington/WA,27549
Portuguese,Very well,Adult,New York/NY,27515
Khmer,Very well,Adult,California/CA,27484
Chinese,Not at all,Senior,California/CA,27432
Spanish,Not well,Adult,Kansas/KS,27275
Chinese,Very well,Adult,Illinois/IL,27221
Chinese,Not at all,Senior,New York/NY,27198
Chinese,Not well,Senior,New York/NY,27041
Russian,Not well,Senior,New York/NY,26896
Haitian,Very well,Adult,New Jersey/NJ,26784
Spanish,Not at all,Adult,Virginia/VA,26733
Spanish,Very well,Youth,Idaho/ID,26722
Spanish,Not well,Adult,Ohio/OH,26671
Yiddish,Well,Youth,New York/NY,26649
Punjabi,Well,Adult,California/CA,26648
Spanish,Not well,Adult,Michigan/MI,26541
Spanish,Not at all,Senior,New Jersey/NJ,26443
German,Very well,Adult,New York/NY,26275
Spanish,Not at all,Youth,Texas/TX,26240
Spanish,Not well,Adult,Minnesota/MN,26224
Hebrew,Very well,Adult,California/CA,26175
Chinese,Not at all,Adult,New York/NY,25899
Spanish,Not well,Youth,New York/NY,25898
Tagalog,Very well,Adult,New York/NY,25749
Hindi,Very well,Adult,Washington/WA,25585
Russian,Very well,Adult,New Jersey/NJ,25400
Spanish,Very well,Adult,Delaware/DE,24782
