"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"Jamaican Creole English","Alabama",218,110028,0.2,4273154,0.01
"Jamaican Creole English","Alaska",0,110028,0,643509,0
"Jamaican Creole English","Arizona",465,110028,0.42,6481034,0.01
"Jamaican Creole English","Arkansas",66,110028,0.06,2656747,0
"Jamaican Creole English","California",4297,110028,3.91,34885769,0.01
"Jamaican Creole English","Colorado",1189,110028,1.08,5205618,0.02
"Jamaican Creole English","Connecticut",8901,110028,8.09,3243543,0.27
"Jamaican Creole English","Delaware",1040,110028,0.95,868386,0.12
"Jamaican Creole English","District of Columbia",732,110028,0.67,586792,0.12
"Jamaican Creole English","Florida",21005,110028,19.09,18666465,0.11
"Jamaican Creole English","Georgia",7331,110028,6.66,9270184,0.08
"Jamaican Creole English","Hawaii",0,110028,0,1268826,0
"Jamaican Creole English","Idaho",63,110028,0.06,1608055,0
"Jamaican Creole English","Illinois",1078,110028,0.98,11513071,0.01
"Jamaican Creole English","Indiana",627,110028,0.57,6051758,0.01
"Jamaican Creole English","Iowa",201,110028,0.18,2869061,0.01
"Jamaican Creole English","Kansas",430,110028,0.39,2631827,0.02
"Jamaican Creole English","Kentucky",558,110028,0.51,3999146,0.01
"Jamaican Creole English","Louisiana",171,110028,0.16,3954844,0
"Jamaican Creole English","Maine",359,110028,0.33,1231579,0.03
"Jamaican Creole English","Maryland",6196,110028,5.63,5533146,0.11
"Jamaican Creole English","Massachusetts",5967,110028,5.42,6355905,0.09
"Jamaican Creole English","Michigan",842,110028,0.77,9080289,0.01
"Jamaican Creole English","Minnesota",445,110028,0.4,5150715,0.01
"Jamaican Creole English","Mississippi",187,110028,0.17,2541044,0.01
"Jamaican Creole English","Missouri",561,110028,0.51,5508462,0.01
"Jamaican Creole English","Montana",0,110028,0,952635,0
"Jamaican Creole English","Nebraska",190,110028,0.17,1776556,0.01
"Jamaican Creole English","Nevada",198,110028,0.18,2744626,0.01
"Jamaican Creole English","New Hampshire",233,110028,0.21,1234766,0.02
"Jamaican Creole English","New Jersey",6473,110028,5.88,8410259,0.08
"Jamaican Creole English","New Mexico",171,110028,0.16,1800441,0.01
"Jamaican Creole English","New York",20957,110028,19.05,17870301,0.12
"Jamaican Creole English","North Carolina",2348,110028,2.13,9147135,0.03
"Jamaican Creole English","North Dakota",0,110028,0,691239,0
"Jamaican Creole English","Ohio",1780,110028,1.62,10674943,0.02
"Jamaican Creole English","Oklahoma",69,110028,0.06,3496942,0
"Jamaican Creole English","Oregon",1134,110028,1.03,3856566,0.03
"Jamaican Creole English","Pennsylvania",5401,110028,4.91,11689113,0.05
"Jamaican Creole English","Rhode Island",60,110028,0.05,966639,0.01
"Jamaican Creole English","South Carolina",1753,110028,1.59,4451500,0.04
"Jamaican Creole English","South Dakota",123,110028,0.11,780990,0.02
"Jamaican Creole English","Tennessee",1252,110028,1.14,6096043,0.02
"Jamaican Creole English","Texas",2469,110028,2.24,25732230,0.01
"Jamaican Creole English","Utah",0,110028,0,2890269,0
"Jamaican Creole English","Vermont",141,110028,0.13,563783,0.03
"Jamaican Creole English","Virginia",1376,110028,1.25,7632032,0.02
"Jamaican Creole English","Washington",529,110028,0.48,6985060,0.01
"Jamaican Creole English","West Virginia",154,110028,0.14,1562854,0.01
"Jamaican Creole English","Wisconsin",288,110028,0.26,5356572,0.01
"Jamaican Creole English","Wyoming",0,110028,0,516070,0
"Other English-based Creole languages","Alabama",0,79219,0,4273154,0
"Other English-based Creole languages","Alaska",67,79219,0.08,643509,0.01
"Other English-based Creole languages","Arizona",504,79219,0.64,6481034,0.01
"Other English-based Creole languages","Arkansas",92,79219,0.12,2656747,0
"Other English-based Creole languages","California",3338,79219,4.21,34885769,0.01
"Other English-based Creole languages","Colorado",223,79219,0.28,5205618,0
"Other English-based Creole languages","Connecticut",1280,79219,1.62,3243543,0.04
"Other English-based Creole languages","Delaware",1272,79219,1.61,868386,0.15
"Other English-based Creole languages","District of Columbia",224,79219,0.28,586792,0.04
"Other English-based Creole languages","Florida",4032,79219,5.09,18666465,0.02
"Other English-based Creole languages","Georgia",3549,79219,4.48,9270184,0.04
"Other English-based Creole languages","Hawaii",19549,79219,24.68,1268826,1.54
"Other English-based Creole languages","Idaho",74,79219,0.09,1608055,0
"Other English-based Creole languages","Illinois",1892,79219,2.39,11513071,0.02
"Other English-based Creole languages","Indiana",347,79219,0.44,6051758,0.01
"Other English-based Creole languages","Iowa",3,79219,0,2869061,0
"Other English-based Creole languages","Kansas",70,79219,0.09,2631827,0
"Other English-based Creole languages","Kentucky",327,79219,0.41,3999146,0.01
"Other English-based Creole languages","Louisiana",103,79219,0.13,3954844,0
"Other English-based Creole languages","Maine",0,79219,0,1231579,0
"Other English-based Creole languages","Maryland",10515,79219,13.27,5533146,0.19
"Other English-based Creole languages","Massachusetts",1314,79219,1.66,6355905,0.02
"Other English-based Creole languages","Michigan",264,79219,0.33,9080289,0
"Other English-based Creole languages","Minnesota",1370,79219,1.73,5150715,0.03
"Other English-based Creole languages","Mississippi",92,79219,0.12,2541044,0
"Other English-based Creole languages","Missouri",490,79219,0.62,5508462,0.01
"Other English-based Creole languages","Montana",58,79219,0.07,952635,0.01
"Other English-based Creole languages","Nebraska",0,79219,0,1776556,0
"Other English-based Creole languages","Nevada",437,79219,0.55,2744626,0.02
"Other English-based Creole languages","New Hampshire",128,79219,0.16,1234766,0.01
"Other English-based Creole languages","New Jersey",3998,79219,5.05,8410259,0.05
"Other English-based Creole languages","New Mexico",37,79219,0.05,1800441,0
"Other English-based Creole languages","New York",5367,79219,6.77,17870301,0.03
"Other English-based Creole languages","North Carolina",1246,79219,1.57,9147135,0.01
"Other English-based Creole languages","North Dakota",20,79219,0.03,691239,0
"Other English-based Creole languages","Ohio",1553,79219,1.96,10674943,0.01
"Other English-based Creole languages","Oklahoma",285,79219,0.36,3496942,0.01
"Other English-based Creole languages","Oregon",926,79219,1.17,3856566,0.02
"Other English-based Creole languages","Pennsylvania",3230,79219,4.08,11689113,0.03
"Other English-based Creole languages","Rhode Island",481,79219,0.61,966639,0.05
"Other English-based Creole languages","South Carolina",440,79219,0.56,4451500,0.01
"Other English-based Creole languages","South Dakota",0,79219,0,780990,0
"Other English-based Creole languages","Tennessee",211,79219,0.27,6096043,0
"Other English-based Creole languages","Texas",4187,79219,5.29,25732230,0.02
"Other English-based Creole languages","Utah",225,79219,0.28,2890269,0.01
"Other English-based Creole languages","Vermont",0,79219,0,563783,0
"Other English-based Creole languages","Virginia",4198,79219,5.3,7632032,0.06
"Other English-based Creole languages","Washington",785,79219,0.99,6985060,0.01
"Other English-based Creole languages","West Virginia",0,79219,0,1562854,0
"Other English-based Creole languages","Wisconsin",406,79219,0.51,5356572,0.01
"Other English-based Creole languages","Wyoming",10,79219,0.01,516070,0
"Haitian","Alabama",1263,1031620,0.12,4273154,0.03
"Haitian","Alaska",204,1031620,0.02,643509,0.03
"Haitian","Arizona",1555,1031620,0.15,6481034,0.02
"Haitian","Arkansas",210,1031620,0.02,2656747,0.01
"Haitian","California",12139,1031620,1.18,34885769,0.03
"Haitian","Colorado",1191,1031620,0.12,5205618,0.02
"Haitian","Connecticut",19855,1031620,1.92,3243543,0.61
"Haitian","Delaware",6710,1031620,0.65,868386,0.77
"Haitian","District of Columbia",928,1031620,0.09,586792,0.16
"Haitian","Florida",467837,1031620,45.35,18666465,2.51
"Haitian","Georgia",29320,1031620,2.84,9270184,0.32
"Haitian","Hawaii",108,1031620,0.01,1268826,0.01
"Haitian","Idaho",147,1031620,0.01,1608055,0.01
"Haitian","Illinois",8324,1031620,0.81,11513071,0.07
"Haitian","Indiana",3944,1031620,0.38,6051758,0.07
"Haitian","Iowa",1030,1031620,0.1,2869061,0.04
"Haitian","Kansas",868,1031620,0.08,2631827,0.03
"Haitian","Kentucky",2931,1031620,0.28,3999146,0.07
"Haitian","Louisiana",5935,1031620,0.58,3954844,0.15
"Haitian","Maine",247,1031620,0.02,1231579,0.02
"Haitian","Maryland",17998,1031620,1.74,5533146,0.33
"Haitian","Massachusetts",108155,1031620,10.48,6355905,1.7
"Haitian","Michigan",2845,1031620,0.28,9080289,0.03
"Haitian","Minnesota",1173,1031620,0.11,5150715,0.02
"Haitian","Mississippi",498,1031620,0.05,2541044,0.02
"Haitian","Missouri",869,1031620,0.08,5508462,0.02
"Haitian","Montana",100,1031620,0.01,952635,0.01
"Haitian","Nebraska",230,1031620,0.02,1776556,0.01
"Haitian","Nevada",1321,1031620,0.13,2744626,0.05
