"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"Iu Mien","New Hampshire",0,21814,0,1234766,0
"Iu Mien","New Jersey",0,21814,0,8410259,0
"Iu Mien","New Mexico",0,21814,0,1800441,0
"Iu Mien","New York",0,21814,0,17870301,0
"Iu Mien","North Carolina",27,21814,0.12,9147135,0
"Iu Mien","North Dakota",0,21814,0,691239,0
"Iu Mien","Ohio",0,21814,0,10674943,0
"Iu Mien","Oklahoma",0,21814,0,3496942,0
"Iu Mien","Oregon",2083,21814,9.55,3856566,0.05
"Iu Mien","Pennsylvania",0,21814,0,11689113,0
"Iu Mien","Rhode Island",0,21814,0,966639,0
"Iu Mien","South Carolina",0,21814,0,4451500,0
"Iu Mien","South Dakota",0,21814,0,780990,0
"Iu Mien","Tennessee",0,21814,0,6096043,0
"Iu Mien","Texas",17,21814,0.08,25732230,0
"Iu Mien","Utah",0,21814,0,2890269,0
"Iu Mien","Vermont",0,21814,0,563783,0
"Iu Mien","Virginia",278,21814,1.27,7632032,0
"Iu Mien","Washington",884,21814,4.05,6985060,0.01
"Iu Mien","West Virginia",0,21814,0,1562854,0
"Iu Mien","Wisconsin",96,21814,0.44,5356572,0
"Iu Mien","Wyoming",0,21814,0,516070,0
"Hmong","Alabama",126,290113,0.04,4273154,0
"Hmong","Alaska",4505,290113,1.55,643509,0.7
"Hmong","Arizona",309,290113,0.11,6481034,0
"Hmong","Arkansas",1784,290113,0.61,2656747,0.07
"Hmong","California",89272,290113,30.77,34885769,0.26
"Hmong","Colorado",3960,290113,1.36,5205618,0.08
"Hmong","Connecticut",18,290113,0.01,3243543,0
"Hmong","Delaware",0,290113,0,868386,0
"Hmong","District of Columbia",0,290113,0,586792,0
"Hmong","Florida",1511,290113,0.52,18666465,0.01
"Hmong","Georgia",4044,290113,1.39,9270184,0.04
"Hmong","Hawaii",79,290113,0.03,1268826,0.01
"Hmong","Idaho",108,290113,0.04,1608055,0.01
"Hmong","Illinois",390,290113,0.13,11513071,0
"Hmong","Indiana",256,290113,0.09,6051758,0
"Hmong","Iowa",469,290113,0.16,2869061,0.02
"Hmong","Kansas",2928,290113,1.01,2631827,0.11
"Hmong","Kentucky",63,290113,0.02,3999146,0
"Hmong","Louisiana",12,290113,0,3954844,0
"Hmong","Maine",0,290113,0,1231579,0
"Hmong","Maryland",97,290113,0.03,5533146,0
"Hmong","Massachusetts",740,290113,0.26,6355905,0.01
"Hmong","Michigan",7388,290113,2.55,9080289,0.08
"Hmong","Minnesota",84125,290113,29,5150715,1.63
"Hmong","Mississippi",0,290113,0,2541044,0
"Hmong","Missouri",2072,290113,0.71,5508462,0.04
"Hmong","Montana",318,290113,0.11,952635,0.03
"Hmong","Nebraska",348,290113,0.12,1776556,0.02
"Hmong","Nevada",394,290113,0.14,2744626,0.01
"Hmong","New Hampshire",0,290113,0,1234766,0
"Hmong","New Jersey",8,290113,0,8410259,0
"Hmong","New Mexico",28,290113,0.01,1800441,0
"Hmong","New York",208,290113,0.07,17870301,0
"Hmong","North Carolina",13424,290113,4.63,9147135,0.15
"Hmong","North Dakota",0,290113,0,691239,0
"Hmong","Ohio",398,290113,0.14,10674943,0
"Hmong","Oklahoma",5565,290113,1.92,3496942,0.16
"Hmong","Oregon",2636,290113,0.91,3856566,0.07
"Hmong","Pennsylvania",769,290113,0.27,11689113,0.01
"Hmong","Rhode Island",470,290113,0.16,966639,0.05
"Hmong","South Carolina",1711,290113,0.59,4451500,0.04
"Hmong","South Dakota",344,290113,0.12,780990,0.04
"Hmong","Tennessee",560,290113,0.19,6096043,0.01
"Hmong","Texas",2834,290113,0.98,25732230,0.01
"Hmong","Utah",422,290113,0.15,2890269,0.01
"Hmong","Vermont",0,290113,0,563783,0
"Hmong","Virginia",52,290113,0.02,7632032,0
"Hmong","Washington",3936,290113,1.36,6985060,0.06
"Hmong","West Virginia",0,290113,0,1562854,0
"Hmong","Wisconsin",51432,290113,17.73,5356572,0.96
"Hmong","Wyoming",0,290113,0,516070,0
"Japanese","Alabama",3689,630737,0.58,4273154,0.09
"Japanese","Alaska",1615,630737,0.26,643509,0.25
"Japanese","Arizona",10301,630737,1.63,6481034,0.16
"Japanese","Arkansas",1484,630737,0.24,2656747,0.06
"Japanese","California",169356,630737,26.85,34885769,0.49
"Japanese","Colorado",9972,630737,1.58,5205618,0.19
"Japanese","Connecticut",5083,630737,0.81,3243543,0.16
"Japanese","Delaware",884,630737,0.14,868386,0.1
"Japanese","District of Columbia",1299,630737,0.21,586792,0.22
"Japanese","Florida",19389,630737,3.07,18666465,0.1
"Japanese","Georgia",13860,630737,2.2,9270184,0.15
"Japanese","Hawaii",55034,630737,8.73,1268826,4.34
"Japanese","Idaho",2953,630737,0.47,1608055,0.18
"Japanese","Illinois",16228,630737,2.57,11513071,0.14
"Japanese","Indiana",8273,630737,1.31,6051758,0.14
"Japanese","Iowa",2419,630737,0.38,2869061,0.08
"Japanese","Kansas",3192,630737,0.51,2631827,0.12
"Japanese","Kentucky",4493,630737,0.71,3999146,0.11
"Japanese","Louisiana",2595,630737,0.41,3954844,0.07
"Japanese","Maine",1418,630737,0.22,1231579,0.12
"Japanese","Maryland",9554,630737,1.51,5533146,0.17
"Japanese","Massachusetts",11296,630737,1.79,6355905,0.18
"Japanese","Michigan",17310,630737,2.74,9080289,0.19
"Japanese","Minnesota",7663,630737,1.21,5150715,0.15
"Japanese","Mississippi",1184,630737,0.19,2541044,0.05
"Japanese","Missouri",4120,630737,0.65,5508462,0.07
"Japanese","Montana",409,630737,0.06,952635,0.04
"Japanese","Nebraska",1815,630737,0.29,1776556,0.1
"Japanese","Nevada",10869,630737,1.72,2744626,0.4
"Japanese","New Hampshire",1170,630737,0.19,1234766,0.09
"Japanese","New Jersey",16419,630737,2.6,8410259,0.2
"Japanese","New Mexico",1984,630737,0.31,1800441,0.11
"Japanese","New York",41580,630737,6.59,17870301,0.23
"Japanese","North Carolina",10372,630737,1.64,9147135,0.11
"Japanese","North Dakota",1188,630737,0.19,691239,0.17
"Japanese","Ohio",14928,630737,2.37,10674943,0.14
"Japanese","Oklahoma",2333,630737,0.37,3496942,0.07
"Japanese","Oregon",15265,630737,2.42,3856566,0.4
"Japanese","Pennsylvania",10591,630737,1.68,11689113,0.09
"Japanese","Rhode Island",710,630737,0.11,966639,0.07
"Japanese","South Carolina",3723,630737,0.59,4451500,0.08
"Japanese","South Dakota",507,630737,0.08,780990,0.06
"Japanese","Tennessee",5832,630737,0.92,6096043,0.1
"Japanese","Texas",32989,630737,5.23,25732230,0.13
"Japanese","Utah",10336,630737,1.64,2890269,0.36
"Japanese","Vermont",468,630737,0.07,563783,0.08
"Japanese","Virginia",14999,630737,2.38,7632032,0.2
"Japanese","Washington",41635,630737,6.6,6985060,0.6
"Japanese","West Virginia",1053,630737,0.17,1562854,0.07
"Japanese","Wisconsin",3682,630737,0.58,5356572,0.07
"Japanese","Wyoming",1216,630737,0.19,516070,0.24
"Korean","Alabama",12470,1283923,0.97,4273154,0.29
"Korean","Alaska",4312,1283923,0.34,643509,0.67
"Korean","Arizona",15458,1283923,1.2,6481034,0.24
"Korean","Arkansas",3033,1283923,0.24,2656747,0.11
"Korean","California",399469,1283923,31.11,34885769,1.15
"Korean","Colorado",18036,1283923,1.4,5205618,0.35
"Korean","Connecticut",7274,1283923,0.57,3243543,0.22
"Korean","Delaware",1802,1283923,0.14,868386,0.21
"Korean","District of Columbia",2343,1283923,0.18,586792,0.4
"Korean","Florida",24139,1283923,1.88,18666465,0.13
"Korean","Georgia",52621,1283923,4.1,9270184,0.57
"Korean","Hawaii",22590,1283923,1.76,1268826,1.78
"Korean","Idaho",2478,1283923,0.19,1608055,0.15
"Korean","Illinois",46577,1283923,3.63,11513071,0.4
"Korean","Indiana",7833,1283923,0.61,6051758,0.13
"Korean","Iowa",4814,1283923,0.37,2869061,0.17
"Korean","Kansas",3825,1283923,0.3,2631827,0.15
"Korean","Kentucky",5491,1283923,0.43,3999146,0.14
"Korean","Louisiana",3118,1283923,0.24,3954844,0.08
"Korean","Maine",1014,1283923,0.08,1231579,0.08
"Korean","Maryland",44181,1283923,3.44,5533146,0.8
"Korean","Massachusetts",19639,1283923,1.53,6355905,0.31
"Korean","Michigan",21022,1283923,1.64,9080289,0.23
"Korean","Minnesota",6600,1283923,0.51,5150715,0.13
"Korean","Mississippi",1898,1283923,0.15,2541044,0.07
"Korean","Missouri",9188,1283923,0.72,5508462,0.17
"Korean","Montana",307,1283923,0.02,952635,0.03
"Korean","Nebraska",2612,1283923,0.2,1776556,0.15
"Korean","Nevada",13280,1283923,1.03,2744626,0.48
"Korean","New Hampshire",1257,1283923,0.1,1234766,0.1
"Korean","New Jersey",89917,1283923,7,8410259,1.07
"Korean","New Mexico",2273,1283923,0.18,1800441,0.13
"Korean","New York",102182,1283923,7.96,17870301,0.57
"Korean","North Carolina",19416,1283923,1.51,9147135,0.21
"Korean","North Dakota",517,1283923,0.04,691239,0.07
"Korean","Ohio",12669,1283923,0.99,10674943,0.12
"Korean","Oklahoma",5600,1283923,0.44,3496942,0.16
"Korean","Oregon",13114,1283923,1.02,3856566,0.34
"Korean","Pennsylvania",30816,1283923,2.4,11689113,0.26
"Korean","Rhode Island",1301,1283923,0.1,966639,0.13
"Korean","South Carolina",6936,1283923,0.54,4451500,0.16
"Korean","South Dakota",1315,1283923,0.1,780990,0.17
"Korean","Tennessee",9492,1283923,0.74,6096043,0.16
"Korean","Texas",80701,1283923,6.29,25732230,0.31
"Korean","Utah",7059,1283923,0.55,2890269,0.24
"Korean","Vermont",409,1283923,0.03,563783,0.07
"Korean","Virginia",68246,1283923,5.32,7632032,0.89
"Korean","Washington",66643,1283923,5.19,6985060,0.95
"Korean","West Virginia",604,1283923,0.05,1562854,0.04
"Korean","Wisconsin",5609,1283923,0.44,5356572,0.1
"Korean","Wyoming",423,1283923,0.03,516070,0.08
"Malay","Alabama",12,19895,0.06,4273154,0
"Malay","Alaska",0,19895,0,643509,0
"Malay","Arizona",338,19895,1.7,6481034,0.01
"Malay","Arkansas",0,19895,0,2656747,0
"Malay","California",4265,19895,21.44,34885769,0.01
"Malay","Colorado",789,19895,3.97,5205618,0.02
"Malay","Connecticut",284,19895,1.43,3243543,0.01
"Malay","Delaware",0,19895,0,868386,0
"Malay","District of Columbia",9,19895,0.05,586792,0
"Malay","Florida",1253,19895,6.3,18666465,0.01
"Malay","Georgia",407,19895,2.05,9270184,0
"Malay","Hawaii",2,19895,0.01,1268826,0
"Malay","Idaho",0,19895,0,1608055,0
"Malay","Illinois",955,19895,4.8,11513071,0.01
"Malay","Indiana",866,19895,4.35,6051758,0.01
"Malay","Iowa",114,19895,0.57,2869061,0
"Malay","Kansas",70,19895,0.35,2631827,0
"Malay","Kentucky",78,19895,0.39,3999146,0
"Malay","Louisiana",34,19895,0.17,3954844,0
"Malay","Maine",58,19895,0.29,1231579,0
"Malay","Maryland",213,19895,1.07,5533146,0
"Malay","Massachusetts",317,19895,1.59,6355905,0
"Malay","Michigan",341,19895,1.71,9080289,0
"Malay","Minnesota",318,19895,1.6,5150715,0.01
"Malay","Mississippi",0,19895,0,2541044,0
"Malay","Missouri",131,19895,0.66,5508462,0
"Malay","Montana",30,19895,0.15,952635,0
"Malay","Nebraska",404,19895,2.03,1776556,0.02
"Malay","Nevada",226,19895,1.14,2744626,0.01
"Malay","New Hampshire",0,19895,0,1234766,0
"Malay","New Jersey",512,19895,2.57,8410259,0.01
"Malay","New Mexico",28,19895,0.14,1800441,0
"Malay","New York",1255,19895,6.31,17870301,0.01
"Malay","North Carolina",118,19895,0.59,9147135,0
"Malay","North Dakota",0,19895,0,691239,0
"Malay","Ohio",355,19895,1.78,10674943,0
"Malay","Oklahoma",144,19895,0.72,3496942,0
"Malay","Oregon",86,19895,0.43,3856566,0
"Malay","Pennsylvania",952,19895,4.79,11689113,0.01
"Malay","Rhode Island",0,19895,0,966639,0
"Malay","South Carolina",0,19895,0,4451500,0
"Malay","South Dakota",0,19895,0,780990,0
"Malay","Tennessee",320,19895,1.61,6096043,0.01
"Malay","Texas",1736,19895,8.73,25732230,0.01
"Malay","Utah",329,19895,1.65,2890269,0.01
"Malay","Vermont",70,19895,0.35,563783,0.01
"Malay","Virginia",639,19895,3.21,7632032,0.01
"Malay","Washington",1134,19895,5.7,6985060,0.02
"Malay","West Virginia",46,19895,0.23,1562854,0
"Malay","Wisconsin",565,19895,2.84,5356572,0.01
"Malay","Wyoming",92,19895,0.46,516070,0.02
"Indonesian","Alabama",242,98668,0.25,4273154,0.01
"Indonesian","Alaska",154,98668,0.16,643509,0.02
"Indonesian","Arizona",1595,98668,1.62,6481034,0.02
"Indonesian","Arkansas",197,98668,0.2,2656747,0.01
"Indonesian","California",38482,98668,39,34885769,0.11
"Indonesian","Colorado",2452,98668,2.49,5205618,0.05
"Indonesian","Connecticut",736,98668,0.75,3243543,0.02
"Indonesian","Delaware",52,98668,0.05,868386,0.01
"Indonesian","District of Columbia",527,98668,0.53,586792,0.09
"Indonesian","Florida",2112,98668,2.14,18666465,0.01
"Indonesian","Georgia",2355,98668,2.39,9270184,0.03
"Indonesian","Hawaii",401,98668,0.41,1268826,0.03
"Indonesian","Idaho",258,98668,0.26,1608055,0.02
"Indonesian","Illinois",1463,98668,1.48,11513071,0.01
"Indonesian","Indiana",849,98668,0.86,6051758,0.01
"Indonesian","Iowa",310,98668,0.31,2869061,0.01
"Indonesian","Kansas",594,98668,0.6,2631827,0.02
"Indonesian","Kentucky",295,98668,0.3,3999146,0.01
"Indonesian","Louisiana",1178,98668,1.19,3954844,0.03
"Indonesian","Maine",88,98668,0.09,1231579,0.01
"Indonesian","Maryland",1889,98668,1.91,5533146,0.03
"Indonesian","Massachusetts",1793,98668,1.82,6355905,0.03
"Indonesian","Michigan",1711,98668,1.73,9080289,0.02
"Indonesian","Minnesota",888,98668,0.9,5150715,0.02
"Indonesian","Mississippi",100,98668,0.1,2541044,0
"Indonesian","Missouri",406,98668,0.41,5508462,0.01
"Indonesian","Montana",476,98668,0.48,952635,0.05
"Indonesian","Nebraska",302,98668,0.31,1776556,0.02
"Indonesian","Nevada",917,98668,0.93,2744626,0.03
"Indonesian","New Hampshire",476,98668,0.48,1234766,0.04
"Indonesian","New Jersey",2221,98668,2.25,8410259,0.03
"Indonesian","New Mexico",102,98668,0.1,1800441,0.01
"Indonesian","New York",5550,98668,5.62,17870301,0.03
"Indonesian","North Carolina",1643,98668,1.67,9147135,0.02
"Indonesian","North Dakota",174,98668,0.18,691239,0.03
"Indonesian","Ohio",1425,98668,1.44,10674943,0.01
"Indonesian","Oklahoma",976,98668,0.99,3496942,0.03
"Indonesian","Oregon",1405,98668,1.42,3856566,0.04
"Indonesian","Pennsylvania",4329,98668,4.39,11689113,0.04
"Indonesian","Rhode Island",102,98668,0.1,966639,0.01
"Indonesian","South Carolina",76,98668,0.08,4451500,0
"Indonesian","South Dakota",140,98668,0.14,780990,0.02
"Indonesian","Tennessee",1058,98668,1.07,6096043,0.02
"Indonesian","Texas",8691,98668,8.81,25732230,0.03
"Indonesian","Utah",437,98668,0.44,2890269,0.02
"Indonesian","Vermont",0,98668,0,563783,0
"Indonesian","Virginia",2021,98668,2.05,7632032,0.03
"Indonesian","Washington",4143,98668,4.2,6985060,0.06
"Indonesian","West Virginia",140,98668,0.14,1562854,0.01
"Indonesian","Wisconsin",673,98668,0.68,5356572,0.01
"Indonesian","Wyoming",64,98668,0.06,516070,0.01
"Other languages of Asia","Alabama",122,60337,0.2,4273154,0
"Other languages of Asia","Alaska",22,60337,0.04,643509,0
"Other languages of Asia","Arizona",675,60337,1.12,6481034,0.01
"Other languages of Asia","Arkansas",72,60337,0.12,2656747,0
"Other languages of Asia","California",7485,60337,12.41,34885769,0.02
"Other languages of Asia","Colorado",812,60337,1.35,5205618,0.02
"Other languages of Asia","Connecticut",129,60337,0.21,3243543,0
"Other languages of Asia","Delaware",48,60337,0.08,868386,0.01
"Other languages of Asia","District of Columbia",129,60337,0.21,586792,0.02
"Other languages of Asia","Florida",1635,60337,2.71,18666465,0.01
"Other languages of Asia","Georgia",691,60337,1.15,9270184,0.01
"Other languages of Asia","Hawaii",154,60337,0.26,1268826,0.01
"Other languages of Asia","Idaho",20,60337,0.03,1608055,0
"Other languages of Asia","Illinois",3540,60337,5.87,11513071,0.03
"Other languages of Asia","Indiana",838,60337,1.39,6051758,0.01
"Other languages of Asia","Iowa",159,60337,0.26,2869061,0.01
"Other languages of Asia","Kansas",258,60337,0.43,2631827,0.01
"Other languages of Asia","Kentucky",265,60337,0.44,3999146,0.01
"Other languages of Asia","Louisiana",46,60337,0.08,3954844,0
"Other languages of Asia","Maine",16,60337,0.03,1231579,0
"Other languages of Asia","Maryland",1541,60337,2.55,5533146,0.03
"Other languages of Asia","Massachusetts",972,60337,1.61,6355905,0.02
"Other languages of Asia","Michigan",667,60337,1.11,9080289,0.01
"Other languages of Asia","Minnesota",577,60337,0.96,5150715,0.01
"Other languages of Asia","Mississippi",0,60337,0,2541044,0
"Other languages of Asia","Missouri",346,60337,0.57,5508462,0.01
"Other languages of Asia","Montana",0,60337,0,952635,0
"Other languages of Asia","Nebraska",833,60337,1.38,1776556,0.05
"Other languages of Asia","Nevada",195,60337,0.32,2744626,0.01
"Other languages of Asia","New Hampshire",192,60337,0.32,1234766,0.02
"Other languages of Asia","New Jersey",2256,60337,3.74,8410259,0.03
"Other languages of Asia","New Mexico",233,60337,0.39,1800441,0.01
"Other languages of Asia","New York",11606,60337,19.24,17870301,0.06
"Other languages of Asia","North Carolina",4372,60337,7.25,9147135,0.05
"Other languages of Asia","North Dakota",0,60337,0,691239,0
"Other languages of Asia","Ohio",3216,60337,5.33,10674943,0.03
"Other languages of Asia","Oklahoma",294,60337,0.49,3496942,0.01
"Other languages of Asia","Oregon",747,60337,1.24,3856566,0.02
"Other languages of Asia","Pennsylvania",4423,60337,7.33,11689113,0.04
"Other languages of Asia","Rhode Island",150,60337,0.25,966639,0.02
"Other languages of Asia","South Carolina",138,60337,0.23,4451500,0
"Other languages of Asia","South Dakota",0,60337,0,780990,0
"Other languages of Asia","Tennessee",339,60337,0.56,6096043,0.01
"Other languages of Asia","Texas",3682,60337,6.1,25732230,0.01
"Other languages of Asia","Utah",94,60337,0.16,2890269,0
"Other languages of Asia","Vermont",0,60337,0,563783,0
"Other languages of Asia","Virginia",2826,60337,4.68,7632032,0.04
"Other languages of Asia","Washington",3467,60337,5.75,6985060,0.05
"Other languages of Asia","West Virginia",0,60337,0,1562854,0
"Other languages of Asia","Wisconsin",55,60337,0.09,5356572,0
"Other languages of Asia","Wyoming",0,60337,0,516070,0
"Filipino","Alabama",1958,552437,0.35,4273154,0.05
"Filipino","Alaska",5290,552437,0.96,643509,0.82
"Filipino","Arizona",12903,552437,2.34,6481034,0.2
"Filipino","Arkansas",1605,552437,0.29,2656747,0.06
"Filipino","California",167515,552437,30.32,34885769,0.48
"Filipino","Colorado",3249,552437,0.59,5205618,0.06
"Filipino","Connecticut",3302,552437,0.6,3243543,0.1
"Filipino","Delaware",492,552437,0.09,868386,0.06
"Filipino","District of Columbia",601,552437,0.11,586792,0.1
"Filipino","Florida",27909,552437,5.05,18666465,0.15
"Filipino","Georgia",5148,552437,0.93,9270184,0.06
"Filipino","Hawaii",31652,552437,5.73,1268826,2.49
"Filipino","Idaho",1095,552437,0.2,1608055,0.07
"Filipino","Illinois",32010,552437,5.79,11513071,0.28
"Filipino","Indiana",4561,552437,0.83,6051758,0.08
"Filipino","Iowa",2048,552437,0.37,2869061,0.07
"Filipino","Kansas",1566,552437,0.28,2631827,0.06
"Filipino","Kentucky",2282,552437,0.41,3999146,0.06
"Filipino","Louisiana",4375,552437,0.79,3954844,0.11
"Filipino","Maine",601,552437,0.11,1231579,0.05
"Filipino","Maryland",12936,552437,2.34,5533146,0.23
"Filipino","Massachusetts",2931,552437,0.53,6355905,0.05
"Filipino","Michigan",7394,552437,1.34,9080289,0.08
"Filipino","Minnesota",2858,552437,0.52,5150715,0.06
"Filipino","Mississippi",1492,552437,0.27,2541044,0.06
"Filipino","Missouri",4063,552437,0.74,5508462,0.07
"Filipino","Montana",767,552437,0.14,952635,0.08
"Filipino","Nebraska",2042,552437,0.37,1776556,0.11
"Filipino","Nevada",20649,552437,3.74,2744626,0.75
"Filipino","New Hampshire",1209,552437,0.22,1234766,0.1
"Filipino","New Jersey",31747,552437,5.75,8410259,0.38
"Filipino","New Mexico",3691,552437,0.67,1800441,0.21
"Filipino","New York",33791,552437,6.12,17870301,0.19
"Filipino","North Carolina",5599,552437,1.01,9147135,0.06
"Filipino","North Dakota",1120,552437,0.2,691239,0.16
"Filipino","Ohio",4526,552437,0.82,10674943,0.04
"Filipino","Oklahoma",2274,552437,0.41,3496942,0.07
"Filipino","Oregon",3464,552437,0.63,3856566,0.09
"Filipino","Pennsylvania",8699,552437,1.57,11689113,0.07
"Filipino","Rhode Island",957,552437,0.17,966639,0.1
"Filipino","South Carolina",4197,552437,0.76,4451500,0.09
"Filipino","South Dakota",606,552437,0.11,780990,0.08
"Filipino","Tennessee",2920,552437,0.53,6096043,0.05
"Filipino","Texas",39607,552437,7.17,25732230,0.15
"Filipino","Utah",2312,552437,0.42,2890269,0.08
"Filipino","Vermont",336,552437,0.06,563783,0.06
"Filipino","Virginia",13364,552437,2.42,7632032,0.18
"Filipino","Washington",21826,552437,3.95,6985060,0.31
"Filipino","West Virginia",979,552437,0.18,1562854,0.06
"Filipino","Wisconsin",3539,552437,0.64,5356572,0.07
"Filipino","Wyoming",380,552437,0.07,516070,0.07
"Tagalog","Alabama",4002,1832440,0.22,4273154,0.09
"Tagalog","Alaska",17982,1832440,0.98,643509,2.79
"Tagalog","Arizona",28489,1832440,1.55,6481034,0.44
"Tagalog","Arkansas",2929,1832440,0.16,2656747,0.11
"Tagalog","California",863676,1832440,47.13,34885769,2.48
"Tagalog","Colorado",10489,1832440,0.57,5205618,0.2
"Tagalog","Connecticut",7063,1832440,0.39,3243543,0.22
"Tagalog","Delaware",4217,1832440,0.23,868386,0.49
"Tagalog","District of Columbia",1472,1832440,0.08,586792,0.25
"Tagalog","Florida",64508,1832440,3.52,18666465,0.35
"Tagalog","Georgia",17137,1832440,0.94,9270184,0.18
"Tagalog","Hawaii",50974,1832440,2.78,1268826,4.02
"Tagalog","Idaho",2573,1832440,0.14,1608055,0.16
"Tagalog","Illinois",77425,1832440,4.23,11513071,0.67
"Tagalog","Indiana",9912,1832440,0.54,6051758,0.16
"Tagalog","Iowa",3064,1832440,0.17,2869061,0.11
"Tagalog","Kansas",4224,1832440,0.23,2631827,0.16
"Tagalog","Kentucky",4880,1832440,0.27,3999146,0.12
"Tagalog","Louisiana",4346,1832440,0.24,3954844,0.11
"Tagalog","Maine",1857,1832440,0.1,1231579,0.15
"Tagalog","Maryland",33950,1832440,1.85,5533146,0.61
"Tagalog","Massachusetts",8726,1832440,0.48,6355905,0.14
"Tagalog","Michigan",14330,1832440,0.78,9080289,0.16
"Tagalog","Minnesota",9709,1832440,0.53,5150715,0.19
"Tagalog","Mississippi",2615,1832440,0.14,2541044,0.1
"Tagalog","Missouri",9638,1832440,0.53,5508462,0.17
"Tagalog","Montana",1407,1832440,0.08,952635,0.15
"Tagalog","Nebraska",2810,1832440,0.15,1776556,0.16
"Tagalog","Nevada",94937,1832440,5.18,2744626,3.46
"Tagalog","New Hampshire",1600,1832440,0.09,1234766,0.13
"Tagalog","New Jersey",73802,1832440,4.03,8410259,0.88
"Tagalog","New Mexico",3596,1832440,0.2,1800441,0.2
"Tagalog","New York",65937,1832440,3.6,17870301,0.37
"Tagalog","North Carolina",18086,1832440,0.99,9147135,0.2
"Tagalog","North Dakota",1835,1832440,0.1,691239,0.27
"Tagalog","Ohio",16133,1832440,0.88,10674943,0.15
"Tagalog","Oklahoma",4736,1832440,0.26,3496942,0.14
"Tagalog","Oregon",14881,1832440,0.81,3856566,0.39
"Tagalog","Pennsylvania",19505,1832440,1.06,11689113,0.17
"Tagalog","Rhode Island",1722,1832440,0.09,966639,0.18
"Tagalog","South Carolina",10047,1832440,0.55,4451500,0.23
"Tagalog","South Dakota",1305,1832440,0.07,780990,0.17
"Tagalog","Tennessee",9404,1832440,0.51,6096043,0.15
"Tagalog","Texas",88352,1832440,4.82,25732230,0.34
"Tagalog","Utah",9315,1832440,0.51,2890269,0.32
"Tagalog","Vermont",1099,1832440,0.06,563783,0.19
"Tagalog","Virginia",52756,1832440,2.88,7632032,0.69
"Tagalog","Washington",69600,1832440,3.8,6985060,1
"Tagalog","West Virginia",1301,1832440,0.07,1562854,0.08
"Tagalog","Wisconsin",6991,1832440,0.38,5356572,0.13
"Tagalog","Wyoming",1096,1832440,0.06,516070,0.21
"Cebuano","Alabama",1039,79131,1.31,4273154,0.02
"Cebuano","Alaska",441,79131,0.56,643509,0.07
"Cebuano","Arizona",918,79131,1.16,6481034,0.01
"Cebuano","Arkansas",134,79131,0.17,2656747,0.01
"Cebuano","California",19812,79131,25.04,34885769,0.06
"Cebuano","Colorado",898,79131,1.13,5205618,0.02
"Cebuano","Connecticut",174,79131,0.22,3243543,0.01
"Cebuano","Delaware",58,79131,0.07,868386,0.01
"Cebuano","District of Columbia",0,79131,0,586792,0
"Cebuano","Florida",5217,79131,6.59,18666465,0.03
"Cebuano","Georgia",1971,79131,2.49,9270184,0.02
"Cebuano","Hawaii",5402,79131,6.83,1268826,0.43
"Cebuano","Idaho",462,79131,0.58,1608055,0.03
"Cebuano","Illinois",4059,79131,5.13,11513071,0.04
"Cebuano","Indiana",1231,79131,1.56,6051758,0.02
"Cebuano","Iowa",486,79131,0.61,2869061,0.02
"Cebuano","Kansas",254,79131,0.32,2631827,0.01
"Cebuano","Kentucky",369,79131,0.47,3999146,0.01
"Cebuano","Louisiana",158,79131,0.2,3954844,0
"Cebuano","Maine",130,79131,0.16,1231579,0.01
"Cebuano","Maryland",1728,79131,2.18,5533146,0.03
"Cebuano","Massachusetts",438,79131,0.55,6355905,0.01
"Cebuano","Michigan",612,79131,0.77,9080289,0.01
"Cebuano","Minnesota",560,79131,0.71,5150715,0.01
"Cebuano","Mississippi",232,79131,0.29,2541044,0.01
"Cebuano","Missouri",852,79131,1.08,5508462,0.02
"Cebuano","Montana",639,79131,0.81,952635,0.07
"Cebuano","Nebraska",426,79131,0.54,1776556,0.02
"Cebuano","Nevada",2985,79131,3.77,2744626,0.11
"Cebuano","New Hampshire",192,79131,0.24,1234766,0.02
"Cebuano","New Jersey",2442,79131,3.09,8410259,0.03
"Cebuano","New Mexico",68,79131,0.09,1800441,0
"Cebuano","New York",3305,79131,4.18,17870301,0.02
"Cebuano","North Carolina",1463,79131,1.85,9147135,0.02
"Cebuano","North Dakota",20,79131,0.03,691239,0
"Cebuano","Ohio",1733,79131,2.19,10674943,0.02
"Cebuano","Oklahoma",641,79131,0.81,3496942,0.02
"Cebuano","Oregon",1203,79131,1.52,3856566,0.03
"Cebuano","Pennsylvania",1086,79131,1.37,11689113,0.01
"Cebuano","Rhode Island",50,79131,0.06,966639,0.01
"Cebuano","South Carolina",410,79131,0.52,4451500,0.01
"Cebuano","South Dakota",32,79131,0.04,780990,0
"Cebuano","Tennessee",373,79131,0.47,6096043,0.01
"Cebuano","Texas",8402,79131,10.62,25732230,0.03
"Cebuano","Utah",340,79131,0.43,2890269,0.01
"Cebuano","Vermont",0,79131,0,563783,0
"Cebuano","Virginia",1632,79131,2.06,7632032,0.02
"Cebuano","Washington",2865,79131,3.62,6985060,0.04
"Cebuano","West Virginia",246,79131,0.31,1562854,0.02
"Cebuano","Wisconsin",557,79131,0.7,5356572,0.01
"Cebuano","Wyoming",386,79131,0.49,516070,0.07
